alert_description,verdict,artifact_location,app_package_name,version_code,apk_category,sast_tool_name,code_location,3rd_party_library_name,apk_size
"Found: ""SHA1""",1,com/google/android/gms/common/util/AndroidUtilsLight.java,alnima.wordshapes,3,5k-10k,CryptoGuard,Utilities,Guava,12152796
Found: Untrused PRNG (java.util.Random),0,kotlin/random/FallbackThreadLocalRandom$implStorage$1.java,alnima.wordshapes,3,5k-10k,CryptoGuard,others,unknown,12152796
Found: Untrused PRNG (java.util.Random),0,kotlin/random/KotlinRandom.java,alnima.wordshapes,3,5k-10k,CryptoGuard,others,unknown,12152796
Found: Untrused PRNG (java.util.Random),0,androidx/activity/result/ActivityResultRegistry.java,alnima.wordshapes,3,5k-10k,CryptoGuard,Android,androidx.arch.core::core-runtime,12152796
"Found: ""http://undefined/""",0,org/jsoup/helper/HttpConnection$Base.java,andreasagap.ktelmakedonia,38,1k-5k,CryptoGuard,Utilities,jsoup,5783758
"Found: ""SHA-1""",1,okio/HashingSink.java,andreasagap.ktelmakedonia,38,1k-5k,CryptoGuard,Utilities,okio,5783758
Found: Untrused PRNG (java.util.Random),0,androidx/transition/Explode.java,andreasagap.ktelmakedonia,38,1k-5k,CryptoGuard,Android,androidx.arch.core::core-runtime,5783758
Found: Untrused PRNG (java.util.Random),0,com/google/android/gms/internal/measurement/zzef.java,andreasagap.ktelmakedonia,38,1k-5k,CryptoGuard,Utilities,Guava,5783758
Found: Untrused PRNG (java.util.Random),0,androidx/activity/result/ActivityResultRegistry.java,andreasagap.ktelmakedonia,38,1k-5k,CryptoGuard,Android,androidx.arch.core::core-runtime,5783758
Found: Untrused PRNG (java.util.Random),0,com/google/android/gms/measurement/internal/zzlb.java,andreasagap.ktelmakedonia,38,1k-5k,CryptoGuard,Utilities,Guava,5783758
Found: Untrused PRNG (java.util.Random),0,kotlin/random/KotlinRandom.java,andreasagap.ktelmakedonia,38,1k-5k,CryptoGuard,others,unknown,5783758
Found: Untrused PRNG (java.util.Random),0,com/google/android/gms/ads/identifier/AdvertisingIdClient.java,andreasagap.ktelmakedonia,38,1k-5k,CryptoGuard,Utilities,Guava,5783758
Found: Untrused PRNG (java.util.Random),0,kotlin/random/FallbackThreadLocalRandom$implStorage$1.java,andreasagap.ktelmakedonia,38,1k-5k,CryptoGuard,others,unknown,5783758
Found: Untrused PRNG (java.util.Random),0,org/jsoup/helper/DataUtil.java,andreasagap.ktelmakedonia,38,1k-5k,CryptoGuard,Utilities,jsoup,5783758
"Found: ""SHA-1""",1,okio/ByteString.java,andreasagap.ktelmakedonia,38,1k-5k,CryptoGuard,Utilities,okio,5783758
"Found: ""MD5""",1,okio/HashingSink.java,andreasagap.ktelmakedonia,38,1k-5k,CryptoGuard,Utilities,okio,5783758
"Found: ""MD5""",1,okio/Buffer.java,andreasagap.ktelmakedonia,38,1k-5k,CryptoGuard,Utilities,okio,5783758
"Found: ""MD5""",1,okio/ByteString.java,andreasagap.ktelmakedonia,38,1k-5k,CryptoGuard,Utilities,okio,5783758
"Found: ""MD5""",1,com/google/android/gms/measurement/internal/zzlb.java,andreasagap.ktelmakedonia,38,1k-5k,CryptoGuard,Utilities,Guava,5783758
"Found: ""SHA1""",1,com/google/android/gms/common/util/AndroidUtilsLight.java,andreasagap.ktelmakedonia,38,1k-5k,CryptoGuard,Utilities,Guava,5783758
"Found: ""SHA-1""",1,okio/Buffer.java,andreasagap.ktelmakedonia,38,1k-5k,CryptoGuard,Utilities,okio,5783758
"Found: ""SHA-1""",1,okio/HashingSource.java,andreasagap.ktelmakedonia,38,1k-5k,CryptoGuard,Utilities,okio,5783758
"Found: ""SHA1""",1,com/google/firebase/installations/local/IidStore.java,andreasagap.ktelmakedonia,38,1k-5k,CryptoGuard,Utilities,Guava,5783758
"Found: ""MD5""",1,okio/HashingSource.java,andreasagap.ktelmakedonia,38,1k-5k,CryptoGuard,Utilities,okio,5783758
Found: Untrused PRNG (java.util.Random),0,com/google/firebase/installations/Utils.java,andreasagap.ktelmakedonia,38,1k-5k,CryptoGuard,Utilities,Guava,5783758
"Found: Constant ""1489418796403""",0,com/google/android/gms/internal/zzdb.java,aplus.droitfiscal,37,5k-10k,CryptoGuard,Android,com.google.android.gms::play-services-clearcut,3041670
"Found: ""MD5""",1,com/google/android/gms/internal/zzagz.java,aplus.droitfiscal,37,5k-10k,CryptoGuard,Android,com.google.android.gms::play-services-clearcut,3041670
"Found: ""MD5""",1,com/google/android/gms/internal/zzhf.java,aplus.droitfiscal,37,5k-10k,CryptoGuard,Android,com.google.android.gms::play-services-clearcut,3041670
"Found: ""MD5""",1,com/google/android/gms/internal/zzaiy.java,aplus.droitfiscal,37,5k-10k,CryptoGuard,Android,com.google.android.gms::play-services-clearcut,3041670
Found: Untrused PRNG (java.util.Random),0,com/google/android/gms/internal/zzcn.java,aplus.droitfiscal,37,5k-10k,CryptoGuard,Android,com.google.android.gms::play-services-clearcut,3041670
Found: Untrused PRNG (java.util.Random),0,com/google/android/gms/internal/zzjj.java,aplus.droitfiscal,37,5k-10k,CryptoGuard,Android,com.google.android.gms::play-services-clearcut,3041670
Found: Untrused PRNG (java.util.Random),0,com/google/android/gms/ads/identifier/AdvertisingIdClient.java,aplus.droitfiscal,37,5k-10k,CryptoGuard,Android,com.google.android.gms::play-services-clearcut,3041670
Found: Untrused PRNG (java.util.Random),0,com/google/android/gms/internal/zztj.java,aplus.droitfiscal,37,5k-10k,CryptoGuard,Android,com.google.android.gms::play-services-clearcut,3041670
"Found: ""MD5""",1,com/google/android/gms/internal/zzbx.java,aplus.droitfiscal,37,5k-10k,CryptoGuard,Android,com.google.android.gms::play-services-clearcut,3041670
Found: Untrused PRNG (java.util.Random),0,com/google/android/gms/internal/zztj.java,aplus.strafrecht,37,<100,CryptoGuard,Android,com.google.android.gms::play-services-clearcut,2959750
Found: Untrused PRNG (java.util.Random),0,com/google/android/gms/internal/zzcn.java,aplus.strafrecht,37,<100,CryptoGuard,Android,com.google.android.gms::play-services-clearcut,2959750
Found: Untrused PRNG (java.util.Random),0,com/google/android/gms/ads/identifier/AdvertisingIdClient.java,aplus.strafrecht,37,<100,CryptoGuard,Android,com.google.android.gms::play-services-clearcut,2959750
